,0
paired_grad_last_first,0.09478956657699311
seg3_paired_frac,0.0766369844724445
seg1_paired_frac,0.06616314010117279
seg2_paired_frac,0.04938233780752345
paired_frac,0.03402616381119015
bulge_density,0.03249981640236068
mfe_per_nt,0.03159519445302106
unpaired_frac,0.030916900757543976
num_loops,0.03076493147966383
tier2_penalty,0.030694721326634405
bulge_count,0.030273585638451006
bulge_chain_same_side_count,0.03011728894374272
tier2_mfe_per_nt,0.029370012460304507
mean_loop_size,0.02924681516989032
bulge_chain_count,0.029207491879600193
pgs_stem_len_norm,0.02728972257402746
adj_mfe,0.02668145994824636
tier2_unpaired_frac,0.024877200228970144
tier2_bulge_frac,0.024797396309333343
len,0.023090838274209113
num_bulges,0.014891959812138754
pct_GU_pairs,0.012932906908823899
pct_AU_pairs,0.01162510168739805
loop_unpaired_frac,0.011211419680771915
pgs_loop_size_norm,0.008779149691984348
bulge_max_left,0.0071817911725796536
di_UU,0.007164409540772366
gc_frac,0.006683895953914489
pgs_stem_len,0.006618203135922644
num_pairs,0.006476098699407042
di_AA,0.006448492002687707
bulge_max_right,0.006069116739913407
au_frac,0.006049098133771755
di_GG,0.0056716525755975584
g_frac,0.005401530150550679
pct_G,0.005319501024552401
seg4_paired_frac,0.005282720247397423
helix_mean_len,0.005018892333869436
di_AG,0.0047798423278811696
di_GA,0.004685702045053915
di_UC,0.004568393374466137
di_CU,0.004055428662652099
di_UA,0.003956752632706623
tier2_loop_len,0.00394679948072095
pgs_loop_size,0.003885218299995679
max_loop_size,0.0038581851590020564
di_AU,0.0036968894518412112
helix_max_len,0.0036102121735357693
tri_UGU,0.0035586642884896636
pct_A,0.00349019109255593
a_frac,0.0034263626874879724
pct_C,0.003172762917337667
pct_GC_pairs,0.0031342337715739355
anchor_stem_len,0.002871804714149122
di_CG,0.002847106829980674
seg3_gc,0.0027588246389112837
seg2_gc,0.00250407975124391
helix_count,0.0024727900501752627
di_CC,0.0024302124159688663
di_AC,0.002271327098359112
di_UG,0.0022364767961849507
seg1_gc,0.0022351479159325146
c_frac,0.002229357015255667
pct_U,0.002177329903023391
u_frac,0.0021121501593670176
tri_UGUG,0.002012539959106146
gc_grad_last_first,0.001954639335696748
di_GU,0.0019467641556265198
di_CA,0.001932518158258655
imbalance_G_C,0.0018865893945491541
seg4_gc,0.0016179272454882813
di_GC,0.0015881734776616474
tri_GUG,0.0015393486347225966
tri_GCG,0.0015208922532476178
imbalance_GA_CU,0.0012823745682580096
tri_AUG,0.0012174690490244153
pgs_score,0.001036730523968962
pgs_cnnc_loose_count,0.0008055689038406628
tri_CGC,0.0005734432785727702
pgs_basal_ug_count,0.0003291320165874187
pgs_ugu_count,0.00024796982986516016
tier2_pass,0.00022017951665790448
pgs_ugug_count,6.798593763819584e-05
pct_other_pairs,0.0
tier2_enabled,0.0
