,0
adj_mfe,0.10950480848537289
mfe_per_nt,0.10922641915319714
tier2_mfe_per_nt,0.10850177208881372
paired_grad_last_first,0.04837902296457177
len,0.04315443307358813
seg1_paired_frac,0.0410731621623821
seg3_paired_frac,0.03583621761930219
pgs_stem_len,0.030573850927663213
num_pairs,0.029146870177326874
tier2_penalty,0.02811264709904307
unpaired_frac,0.02546915368946694
tier2_unpaired_frac,0.021682165490571444
loop_unpaired_frac,0.02128441974195617
seg2_paired_frac,0.019860109479470287
tier2_bulge_frac,0.019814598519626227
pgs_stem_len_norm,0.01979607337563826
paired_frac,0.019132961725855244
helix_max_len,0.01158820429588264
pct_GU_pairs,0.009561689952689204
anchor_stem_len,0.009320787954947304
pct_AU_pairs,0.008707516301738294
di_GG,0.008418390728505372
num_bulges,0.008286449528927703
helix_count,0.008229783998455467
helix_mean_len,0.008208211894286234
bulge_max_right,0.007487944528906641
pgs_loop_size_norm,0.007054023453394449
g_frac,0.007052085471409753
pct_G,0.006828331681664605
mean_loop_size,0.005402923041028688
imbalance_G_C,0.005260467067469585
pct_GC_pairs,0.005221340763919366
tri_UGU,0.005026199390067168
bulge_density,0.005021332640706104
au_frac,0.004871135418209531
gc_frac,0.0048227369634792315
seg2_gc,0.004746959537940518
di_GU,0.004472496400318199
seg3_gc,0.004387625139976416
bulge_max_left,0.004337957353741857
bulge_chain_count,0.003928359150170846
di_GC,0.003903900366776316
di_CC,0.0039026749178160207
u_frac,0.003891108880762444
di_AG,0.0037640569760941612
di_UC,0.0037406108231106128
di_GA,0.0037404330846040074
pct_U,0.003736577109272629
di_CU,0.0037214809144852485
di_UA,0.003579393796782902
bulge_count,0.0034878773203068196
num_loops,0.003391464670833326
di_AC,0.00338085013253555
a_frac,0.003355638511650266
imbalance_GA_CU,0.0033491162652874774
c_frac,0.0032696490352829176
pgs_loop_size,0.0032101601597865482
seg1_gc,0.003203710281858196
bulge_chain_same_side_count,0.003178944161936386
di_AU,0.0030846937066856665
pct_A,0.0030215598513108626
di_AA,0.003012402218094095
di_UU,0.003008380955557981
pct_C,0.0029734287330770446
max_loop_size,0.002857721145537542
seg4_gc,0.0028484320041758248
gc_grad_last_first,0.002699383964624615
di_UG,0.0025912954186328996
di_CA,0.002586578047296806
tri_GUG,0.002429658496108374
di_CG,0.002395486461215042
pgs_score,0.002381107801527069
tier2_loop_len,0.002024451804486195
tri_AUG,0.0019073549861527055
tri_UGUG,0.0018125505715695285
pgs_cnnc_loose_count,0.0012110313532379062
tri_CGC,0.0010835736452054472
tri_GCG,0.000951316597346834
pgs_basal_ug_count,0.0009299161766741352
seg4_paired_frac,0.0007682037222748815
pgs_ugu_count,0.0004900273593786734
tier2_pass,0.00020773179653647437
pgs_ugug_count,0.00012442734243090013
pct_other_pairs,0.0
tier2_enabled,0.0
sample_weight,0.0
