,0
paired_grad_last_first,0.1023612762298219
seg1_paired_frac,0.07485896603617725
seg3_paired_frac,0.07440107622911717
seg2_paired_frac,0.04861894468020777
tier2_penalty,0.04206977131395303
tier2_mfe_per_nt,0.03985277363633235
pgs_stem_len_norm,0.03772332536552815
unpaired_frac,0.03675271687015296
mfe_per_nt,0.035483778516230705
adj_mfe,0.03444627131670698
tier2_bulge_frac,0.03093408114514904
tier2_unpaired_frac,0.029748630090216208
paired_frac,0.027982010736988257
bulge_density,0.02569031239617767
mean_loop_size,0.023068845986857645
bulge_chain_same_side_count,0.022843937341851597
bulge_count,0.021929700545683148
num_loops,0.020915621549277254
bulge_chain_count,0.01927862110070625
len,0.01697912240592532
pct_GU_pairs,0.013131287067637245
num_bulges,0.010776977512468512
pct_AU_pairs,0.010503175431191013
loop_unpaired_frac,0.010295875635770115
num_pairs,0.009335031362370478
pgs_loop_size_norm,0.00874635810286172
pgs_stem_len,0.007292586076661969
bulge_max_right,0.0061550970978989615
g_frac,0.006075236357941611
di_UU,0.005923102470775774
di_GG,0.005451864967198544
seg4_paired_frac,0.005171357146078107
di_GA,0.005160842051627482
gc_frac,0.005042670666507603
di_CG,0.005028496242863753
pct_G,0.004984920625495324
au_frac,0.004975560311417381
helix_max_len,0.004874893012089943
di_AA,0.004607984451548923
di_UC,0.004552464801490875
pct_GC_pairs,0.0043158110559430385
di_UA,0.0042610042114102215
bulge_max_left,0.00422443908992209
helix_mean_len,0.0040871881051171175
pgs_loop_size,0.00399180860531982
di_AG,0.0037937352360123827
max_loop_size,0.003780461393819292
anchor_stem_len,0.0037763286260344983
di_CU,0.0036771096968685442
pct_A,0.0034006375965195024
di_AU,0.003021647466372034
tier2_loop_len,0.002917163231922502
a_frac,0.0028259936432409147
seg3_gc,0.0026191622743795356
tri_UGU,0.002575188897655351
pct_C,0.002549562295445899
di_UG,0.002532482967266037
seg1_gc,0.0024689794601170634
seg2_gc,0.0023374552757664166
imbalance_G_C,0.002179562115540209
c_frac,0.0020887054581729893
di_CA,0.0020865441801674765
di_AC,0.0019455216171095646
gc_grad_last_first,0.0019407344505186553
seg4_gc,0.0018778148747137767
di_CC,0.0018615096620621405
tri_GCG,0.001860654760249607
u_frac,0.0018059772256490841
pct_U,0.0017312214422399047
tri_GUG,0.0016991836666985177
tri_UGUG,0.0016905432698154188
di_GU,0.0016320559256211167
helix_count,0.001575289235893257
di_GC,0.001434155685992493
imbalance_GA_CU,0.0010733186411448065
pgs_score,0.0010039355715781057
tri_AUG,0.0009359912611951661
pgs_cnnc_loose_count,0.0009119688066629764
tri_CGC,0.0006929507915199957
pgs_ugu_count,0.00033476721496588827
pgs_basal_ug_count,0.0002791518146578232
pgs_ugug_count,0.00010707877934657826
tier2_pass,6.963953439612813e-05
pct_other_pairs,0.0
tier2_enabled,0.0
