,0
paired_grad_last_first,0.10525761516823263
seg1_paired_frac,0.07631942191333826
seg3_paired_frac,0.06072944951316753
paired_frac,0.05969123042157366
unpaired_frac,0.056644394393888124
mfe_per_nt,0.055079178697273246
pgs_stem_len_norm,0.05089647641751995
seg2_paired_frac,0.05074947377156578
adj_mfe,0.04944168205871043
bulge_density,0.028906662759309962
mean_loop_size,0.023937534775265872
bulge_chain_same_side_count,0.02275035515581987
bulge_count,0.02180317536095693
num_loops,0.0213774348291977
bulge_chain_count,0.021156325269712277
len,0.019261933346647508
num_pairs,0.01818814574252451
pgs_stem_len,0.0172493129467299
pct_GU_pairs,0.016919156923154276
loop_unpaired_frac,0.015705301738208905
pct_AU_pairs,0.012076926410621884
num_bulges,0.010250679376321323
bulge_max_right,0.00880506109059474
pgs_loop_size_norm,0.008703219888984027
bulge_max_left,0.007258960189349726
anchor_stem_len,0.006552003842896892
di_CG,0.0055400270313371
helix_mean_len,0.005502138783044029
g_frac,0.00546741977307049
pct_G,0.005400684210249426
seg4_paired_frac,0.0053497352738717955
di_GG,0.005321150906627315
di_GA,0.005297166512257509
di_UC,0.005099632493983113
au_frac,0.004996494097019181
helix_max_len,0.004884091022970593
pct_GC_pairs,0.004858512775726291
di_AA,0.004816066167627273
di_UU,0.004810605293306691
di_UA,0.004704737193588068
gc_frac,0.004648562395590034
max_loop_size,0.004086340657847895
pgs_loop_size,0.003922159408027584
di_CU,0.0037142615175594753
pct_A,0.0034882831860634854
a_frac,0.003282213272328532
di_AG,0.0031989156079510954
tri_UGU,0.003053097729214278
di_AU,0.0029771973971643197
c_frac,0.0027681119956777596
di_UG,0.0026541577413759475
seg2_gc,0.002618970296845976
seg1_gc,0.002606991984531519
seg3_gc,0.0025838114723446253
pct_C,0.0025653888116950706
di_CC,0.0025046936484162813
di_CA,0.002326821974735529
seg4_gc,0.002264630080984153
di_AC,0.002109009130063095
gc_grad_last_first,0.002085583753808937
helix_count,0.002034472264650522
imbalance_G_C,0.0019893871574868873
pct_U,0.0019829198826045225
di_GU,0.001973926256052453
u_frac,0.0018970323009486955
tri_GCG,0.0018934222572509055
tri_UGUG,0.001831138787092724
di_GC,0.0015978942019810893
tri_GUG,0.0014703787539149366
imbalance_GA_CU,0.0013173109758028653
tri_AUG,0.001228796080819424
pgs_score,0.0009289384090869939
tri_CGC,0.0009257921204214382
pgs_cnnc_loose_count,0.0007779736062577873
pgs_ugu_count,0.00040780927695817376
pgs_basal_ug_count,0.0003941414447481482
pgs_ugug_count,0.00012989062545215797
pct_other_pairs,0.0
