,0
tier2_mfe_per_nt,0.08833596126635798
paired_grad_last_first,0.08197854892465449
mfe_per_nt,0.0766765809836885
adj_mfe,0.07297308620949074
seg1_paired_frac,0.05678329687565565
tier2_penalty,0.04426400675654441
seg3_paired_frac,0.04104062987400714
len,0.03961501948787678
pgs_stem_len_norm,0.03893841560741397
unpaired_frac,0.03514079040394205
pgs_stem_len,0.03461164621980637
paired_frac,0.033904791762880325
num_pairs,0.033764860481534105
seg2_paired_frac,0.032374490452974726
tier2_unpaired_frac,0.029999850319749586
tier2_bulge_frac,0.027390939377944696
loop_unpaired_frac,0.008563345393023829
pgs_loop_size_norm,0.006982932609719001
helix_max_len,0.006852140892682469
di_GA,0.006756946615992774
pct_AU_pairs,0.006742469215419034
pct_GU_pairs,0.006506725724464611
anchor_stem_len,0.006293896996740099
pct_G,0.005514826109525294
g_frac,0.005397515411912545
bulge_density,0.0053853457532030535
mean_loop_size,0.004935753368124061
di_AG,0.004804556504659322
bulge_count,0.004767458515040494
bulge_max_right,0.004662187386849609
num_loops,0.004545984317650497
bulge_chain_same_side_count,0.004419008544872256
pct_GC_pairs,0.004278969442803105
tier2_loop_len,0.004248773465404785
au_frac,0.0042438078575633975
gc_frac,0.004113101505091146
di_AA,0.004106414241302269
helix_count,0.003997847930234628
bulge_max_left,0.00389483742913936
max_loop_size,0.003853402796018934
helix_mean_len,0.0038491393846499474
bulge_chain_count,0.0038452169836578356
imbalance_G_C,0.0038361444938291973
seg2_gc,0.0037337569514136115
di_UA,0.003722180220730661
pgs_loop_size,0.003681201316653599
di_UU,0.003510597748313575
di_GG,0.003495783228719004
tri_UGU,0.003481702548751864
di_UC,0.003280664509100939
seg3_gc,0.0032286914381065798
di_GU,0.0031380741126664667
pct_A,0.0031252216507777274
di_CU,0.0031084774312871333
di_AU,0.003033491938561429
a_frac,0.002992642961466118
num_bulges,0.0029427993074777944
seg4_paired_frac,0.0029045054267138374
u_frac,0.0028473989093035982
pct_U,0.0028089769932977677
gc_grad_last_first,0.002795983732041999
di_GC,0.0026195877602701845
seg1_gc,0.0025818864349761686
seg4_gc,0.0025719968832115477
di_AC,0.002538100615460272
di_CA,0.0024629520300930054
di_CC,0.002400049876806312
c_frac,0.0023960068234408945
pct_C,0.002343807586463953
imbalance_GA_CU,0.00222996465331413
tri_AUG,0.0020703961046461125
di_CG,0.002037275328174592
di_UG,0.0019108110289347826
tri_GUG,0.0017814875453721663
pgs_score,0.0017611818677674316
tri_UGUG,0.001326572514023148
tri_GCG,0.001198492009029587
pgs_cnnc_loose_count,0.00105408032552953
tri_CGC,0.0006268686460963388
pgs_basal_ug_count,0.0005827961129560684
pgs_ugu_count,0.0004059631291550758
tier2_pass,4.330241513526743e-05
pgs_ugug_count,3.2605989664657175e-05
pct_other_pairs,0.0
tier2_enabled,0.0
