,0
tier2_mfe_per_nt,0.11321781287224474
adj_mfe,0.10320653833563062
mfe_per_nt,0.10238259510269926
paired_grad_last_first,0.04921117734925311
len,0.04516731860043941
seg1_paired_frac,0.03425573767478429
tier2_penalty,0.033072744313967305
num_pairs,0.03221014501169198
pgs_stem_len_norm,0.02927453501627411
pgs_stem_len,0.02824307290162174
seg3_paired_frac,0.027466101130603396
loop_unpaired_frac,0.026839224809594806
unpaired_frac,0.024493584435012695
paired_frac,0.022080526459681716
tier2_unpaired_frac,0.01998660552600623
tier2_bulge_frac,0.01990370426668612
seg2_paired_frac,0.01937434822030367
anchor_stem_len,0.014379292467914969
helix_max_len,0.014061144457204763
helix_count,0.009992716940637273
pct_AU_pairs,0.007753081011540342
bulge_max_right,0.007344146006541248
helix_mean_len,0.007168542910211938
num_bulges,0.007118735616536718
pgs_loop_size_norm,0.0067841517140531625
pct_GU_pairs,0.006781249322938823
pct_G,0.006489666337588081
g_frac,0.006187336938564769
di_GG,0.005692179269475731
bulge_max_left,0.005616331118004673
pct_GC_pairs,0.00532792619186624
gc_frac,0.005070889579043162
bulge_chain_same_side_count,0.00487944921077035
imbalance_G_C,0.004856553443798693
au_frac,0.004762804665707885
tri_UGU,0.004645053217368026
bulge_density,0.004609147229540558
seg3_gc,0.004565844459042104
mean_loop_size,0.004452711483257256
u_frac,0.004417839608028934
num_loops,0.004316631038399893
di_GU,0.004284754179116229
di_GA,0.004232301911151125
seg2_gc,0.004131655269748676
max_loop_size,0.003958819241433927
bulge_count,0.0038177805418311323
di_CC,0.003742045456451582
pct_U,0.003687167644214007
pgs_loop_size,0.00353049898988791
bulge_chain_count,0.0035257242114523873
di_AG,0.0034642985016594676
di_UU,0.00341959129430661
di_AU,0.0033614010580618574
seg1_gc,0.0033596188356740542
di_UA,0.003298333164102243
a_frac,0.0032943910749885135
di_AC,0.0032860188605114745
di_UC,0.003214298251600495
pct_C,0.003213449082524443
di_CA,0.003164622404867724
di_GC,0.003136361569751433
gc_grad_last_first,0.0031027500900277926
di_AA,0.0030657796677332305
imbalance_GA_CU,0.0030124525679564975
c_frac,0.0029949409443740297
pct_A,0.0029705730162844423
di_CU,0.002877724871529684
seg4_gc,0.002734039662085946
di_UG,0.0024218478207296687
di_CG,0.002226500423634767
tri_AUG,0.0021275451297508197
tri_UGUG,0.0020392912618779403
pgs_score,0.002020148189897368
tier2_loop_len,0.0020140374117493354
tri_GUG,0.0020108150969453567
tri_GCG,0.0011771925249364505
pgs_cnnc_loose_count,0.0011622182271265728
tri_CGC,0.0009418673915308224
pgs_basal_ug_count,0.0008282444719188935
seg4_paired_frac,0.0006587599804034484
pgs_ugu_count,0.0004414757902291317
tier2_pass,0.00031325386966232256
pgs_ugug_count,7.621378174931292e-05
pct_other_pairs,0.0
tier2_enabled,0.0
